Codigo/ Materia/ Creditos/ Tipologia/ Semestre/ Prerrequisitos/ 
1000001/ materia 1/ 1/ LE/ 1/ / 
1000002/ materia 2/ 1/ LE/ 1/ / 
1000003/ materia 3/ 4/ LE/ 1/ / 
1000004/ materia 4/ 4/ LE/ 1/ / 
1000005/ materia 5/ 3/ LE/ 1/ / 
1000006/ materia 6/ 4/ LE/ 1/ / 
1000007/ materia 7/ 4/ LE/ 1/ / 
1000008/ materia 8/ 5/ LE/ 1/ / 
1000009/ materia 9/ 1/ LE/ 1/ / 
1000010/ materia 10/ 3/ LE/ 1/ / 
1000011/ materia 11/ 3/ LE/ 1/ / 
1000012/ materia 12/ 4/ LE/ 1/ / 
1000013/ materia 13/ 2/ LE/ 1/ / 
1000014/ materia 14/ 3/ LE/ 1/ / 
1000015/ materia 15/ 4/ LE/ 1/ / 
1000016/ materia 16/ 3/ LE/ 1/ / 
1000017/ materia 17/ 4/ LE/ 1/ / 
1000018/ materia 18/ 3/ LE/ 1/ / 
1000019/ materia 19/ 3/ LE/ 1/ / 
1000020/ materia 20/ 4/ LE/ 1/ / 
1000021/ materia 21/ 1/ LE/ 1/ / 
1000022/ materia 22/ 1/ LE/ 1/ / 
1000023/ materia 23/ 3/ LE/ 1/ / 
1000024/ materia 24/ 3/ LE/ 1/ / 
1000025/ materia 25/ 1/ LE/ 1/ / 
1000026/ materia 26/ 5/ LE/ 1/ / 
1000027/ materia 27/ 2/ LE/ 1/ / 
1000028/ materia 28/ 2/ LE/ 1/ / 
1000029/ materia 29/ 5/ LE/ 1/ / 
1000030/ materia 30/ 2/ LE/ 1/ / 
1000031/ materia 31/ 5/ LE/ 1/ / 
1000032/ materia 32/ 4/ LE/ 1/ / 
1000033/ materia 33/ 2/ LE/ 1/ / 
1000034/ materia 34/ 2/ LE/ 1/ / 
1000035/ materia 35/ 1/ LE/ 1/ / 
1000036/ materia 36/ 1/ LE/ 1/ / 
1000037/ materia 37/ 1/ LE/ 1/ / 
1000038/ materia 38/ 1/ LE/ 1/ / 
1000039/ materia 39/ 1/ LE/ 1/ / 
1000040/ materia 40/ 1/ LE/ 1/ / 
1000041/ materia 41/ 1/ LE/ 1/ / 
1000042/ materia 42/ 1/ LE/ 1/ / 
1000043/ materia 43/ 3/ LE/ 1/ / 
1000044/ materia 44/ 4/ LE/ 1/ / 
1000045/ materia 45/ 2/ LE/ 1/ / 
1000046/ materia 46/ 5/ LE/ 1/ / 
1000047/ materia 47/ 4/ LE/ 1/ / 
1000048/ materia 48/ 5/ LE/ 1/ / 
1000049/ materia 49/ 4/ LE/ 1/ / 
1000050/ materia 50/ 4/ LE/ 1/ / 
1000051/ materia 51/ 1/ LE/ 1/ / 
1000052/ materia 52/ 3/ LE/ 1/ / 
1000053/ materia 53/ 5/ LE/ 1/ / 
1000054/ materia 54/ 1/ LE/ 1/ / 
1000055/ materia 55/ 4/ LE/ 1/ / 
1000056/ materia 56/ 5/ LE/ 1/ / 
1000057/ materia 57/ 3/ LE/ 1/ / 
1000058/ materia 58/ 4/ LE/ 1/ / 
1000059/ materia 59/ 3/ LE/ 1/ / 
1000060/ materia 60/ 1/ LE/ 1/ / 
1000061/ materia 61/ 4/ LE/ 1/ / 
1000062/ materia 62/ 4/ LE/ 1/ / 
1000063/ materia 63/ 5/ LE/ 1/ / 
1000064/ materia 64/ 3/ LE/ 1/ / 
1000065/ materia 65/ 1/ LE/ 1/ / 
1000066/ materia 66/ 3/ LE/ 1/ / 
1000067/ materia 67/ 5/ LE/ 1/ / 
1000068/ materia 68/ 3/ LE/ 1/ / 
1000069/ materia 69/ 3/ LE/ 1/ / 
1000070/ materia 70/ 4/ LE/ 1/ / 
1000071/ materia 71/ 1/ LE/ 1/ / 
1000072/ materia 72/ 1/ LE/ 1/ / 
1000073/ materia 73/ 2/ LE/ 1/ / 
1000074/ materia 74/ 4/ LE/ 1/ / 
1000075/ materia 75/ 2/ LE/ 1/ / 
1000076/ materia 76/ 2/ LE/ 1/ / 
1000077/ materia 77/ 3/ LE/ 1/ / 
1000078/ materia 78/ 2/ LE/ 1/ / 
1000079/ materia 79/ 3/ LE/ 1/ / 
1000080/ materia 80/ 1/ LE/ 1/ / 
1000081/ materia 81/ 2/ LE/ 1/ / 
1000082/ materia 82/ 4/ LE/ 1/ / 
1000083/ materia 83/ 5/ LE/ 1/ / 
1000084/ materia 84/ 3/ LE/ 1/ / 
1000085/ materia 85/ 3/ LE/ 1/ / 
1000086/ materia 86/ 5/ LE/ 1/ / 
1000087/ materia 87/ 2/ LE/ 1/ / 
1000088/ materia 88/ 3/ LE/ 1/ / 
1000089/ materia 89/ 2/ LE/ 1/ / 
1000090/ materia 90/ 1/ LE/ 1/ / 
1000091/ materia 91/ 3/ LE/ 1/ / 
1000092/ materia 92/ 5/ LE/ 1/ / 
1000093/ materia 93/ 2/ LE/ 1/ / 
1000094/ materia 94/ 4/ LE/ 1/ / 
1000095/ materia 95/ 2/ LE/ 1/ / 
1000096/ materia 96/ 2/ LE/ 1/ / 
1000097/ materia 97/ 4/ LE/ 1/ / 
1000098/ materia 98/ 5/ LE/ 1/ / 
1000099/ materia 99/ 3/ LE/ 1/ / 
1000100/ materia 100/ 1/ LE/ 1/ / 
1000101/ materia 101/ 5/ LE/ 2/ 1000037/ 
1000102/ materia 102/ 2/ LE/ 2/ 1000072/ 
1000103/ materia 103/ 3/ LE/ 2/ 1000027/ 
1000104/ materia 104/ 4/ LE/ 2/ 1000057/ 
1000105/ materia 105/ 1/ LE/ 2/ 1000023/ 
1000106/ materia 106/ 4/ LE/ 2/ 1000021/ 
1000107/ materia 107/ 3/ LE/ 2/ 1000014/ 
1000108/ materia 108/ 4/ LE/ 2/ 1000026/ 
1000109/ materia 109/ 3/ LE/ 2/ 1000000/ 
1000110/ materia 110/ 4/ LE/ 2/ 1000034/ 
1000111/ materia 111/ 4/ LE/ 2/ 1000008/ 
1000112/ materia 112/ 2/ LE/ 2/ 1000035/ 
1000113/ materia 113/ 1/ LE/ 2/ 1000029/ 
1000114/ materia 114/ 2/ LE/ 2/ 1000113/ 
1000115/ materia 115/ 5/ LE/ 2/ 1000084/ 
1000116/ materia 116/ 4/ LE/ 2/ 1000075/ 
1000117/ materia 117/ 4/ LE/ 2/ 1000101/ 
1000118/ materia 118/ 2/ LE/ 2/ 1000020/ 
1000119/ materia 119/ 4/ LE/ 2/ 1000041/ 
1000120/ materia 120/ 1/ LE/ 2/ 1000038/ 
1000121/ materia 121/ 4/ LE/ 2/ 1000066/ 
1000122/ materia 122/ 1/ LE/ 2/ 1000025/ 
1000123/ materia 123/ 2/ LE/ 2/ 1000026/ 
1000124/ materia 124/ 5/ LE/ 2/ 1000013/ 
1000125/ materia 125/ 1/ LE/ 2/ 1000040/ 
1000126/ materia 126/ 5/ LE/ 2/ 1000053/ 
1000127/ materia 127/ 4/ LE/ 2/ 1000029/ 
1000128/ materia 128/ 1/ LE/ 2/ 1000127/ 
1000129/ materia 129/ 4/ LE/ 2/ 1000008/ 
1000130/ materia 130/ 5/ LE/ 2/ 1000077/ 
1000131/ materia 131/ 3/ LE/ 2/ 1000046/ 
1000132/ materia 132/ 5/ LE/ 2/ 1000089/ 
1000133/ materia 133/ 3/ LE/ 2/ 1000127/ 
1000134/ materia 134/ 5/ LE/ 2/ 1000059/ 
1000135/ materia 135/ 3/ LE/ 2/ 1000019/ 
1000136/ materia 136/ 4/ LE/ 2/ 1000006/ 
1000137/ materia 137/ 4/ LE/ 2/ 1000003/ 
1000138/ materia 138/ 1/ LE/ 2/ 1000020/ 
1000139/ materia 139/ 4/ LE/ 2/ 1000028/ 
1000140/ materia 140/ 4/ LE/ 2/ 1000096/ 
1000141/ materia 141/ 5/ LE/ 2/ 1000087/ 
1000142/ materia 142/ 3/ LE/ 2/ 1000121/ 
1000143/ materia 143/ 4/ LE/ 2/ 1000106/ 
1000144/ materia 144/ 1/ LE/ 2/ 1000058/ 
1000145/ materia 145/ 2/ LE/ 2/ 1000132/ 
1000146/ materia 146/ 3/ LE/ 2/ 1000020/ 
1000147/ materia 147/ 4/ LE/ 2/ 1000005/ 
1000148/ materia 148/ 2/ LE/ 2/ 1000102/ 
1000149/ materia 149/ 4/ LE/ 2/ 1000061/ 
1000150/ materia 150/ 3/ LE/ 2/ 1000081/ 
1000151/ materia 151/ 2/ LE/ 2/ 1000141/ 
1000152/ materia 152/ 3/ LE/ 2/ 1000039/ 
1000153/ materia 153/ 3/ LE/ 2/ 1000068/ 
1000154/ materia 154/ 4/ LE/ 2/ 1000008/ 
1000155/ materia 155/ 2/ LE/ 2/ 1000060/ 
1000156/ materia 156/ 1/ LE/ 2/ 1000080/ 
1000157/ materia 157/ 1/ LE/ 2/ 1000107/ 
1000158/ materia 158/ 5/ LE/ 2/ 1000100/ 
1000159/ materia 159/ 1/ LE/ 2/ 1000142/ 
1000160/ materia 160/ 2/ LE/ 2/ 1000010/ 
1000161/ materia 161/ 2/ LE/ 2/ 1000096/ 
1000162/ materia 162/ 5/ LE/ 2/ 1000107/ 
1000163/ materia 163/ 1/ LE/ 2/ 1000007/ 
1000164/ materia 164/ 5/ LE/ 2/ 1000036/ 
1000165/ materia 165/ 2/ LE/ 2/ 1000003/ 
1000166/ materia 166/ 5/ LE/ 2/ 1000084/ 
1000167/ materia 167/ 4/ LE/ 2/ 1000002/ 
1000168/ materia 168/ 4/ LE/ 2/ 1000085/ 
1000169/ materia 169/ 3/ LE/ 2/ 1000100/ 
1000170/ materia 170/ 2/ LE/ 2/ 1000163/ 
1000171/ materia 171/ 1/ LE/ 2/ 1000008/ 
1000172/ materia 172/ 2/ LE/ 2/ 1000022/ 
1000173/ materia 173/ 2/ LE/ 2/ 1000049/ 
1000174/ materia 174/ 5/ LE/ 2/ 1000137/ 
1000175/ materia 175/ 3/ LE/ 2/ 1000169/ 
1000176/ materia 176/ 1/ LE/ 2/ 1000091/ 
1000177/ materia 177/ 2/ LE/ 2/ 1000159/ 
1000178/ materia 178/ 4/ LE/ 2/ 1000036/ 
1000179/ materia 179/ 4/ LE/ 2/ 1000120/ 
1000180/ materia 180/ 5/ LE/ 2/ 1000144/ 
1000181/ materia 181/ 2/ LE/ 2/ 1000102/ 
1000182/ materia 182/ 4/ LE/ 2/ 1000066/ 
1000183/ materia 183/ 4/ LE/ 2/ 1000119/ 
1000184/ materia 184/ 2/ LE/ 2/ 1000056/ 
1000185/ materia 185/ 5/ LE/ 2/ 1000044/ 
1000186/ materia 186/ 4/ LE/ 2/ 1000166/ 
1000187/ materia 187/ 1/ LE/ 2/ 1000086/ 
